0-BINSEARCH[56](1935){1},0-BINSEARCH[56](1935){4095},0-BINSEARCH[56](1935){2048},0-BINSEARCH[56](1935){1},0-BINSEARCH[56](1935){4095},0-BINSEARCH[56](1935){2048},0-BINSEARCH[56](1935){1792},0-BINSEARCH[56](1935){1920},0-BINSEARCH[56](1935){1984},0-BINSEARCH[56](1935){1},0-BINSEARCH[56](1935){4095},0-BINSEARCH[56](1935){2048},0-BINSEARCH[56](1935){1792},0-BINSEARCH[56](1935){1568},0-BINSEARCH[56](1935){1680},0-BINSEARCH[56](1935){1736},0-BINSEARCH[56](1935){1792},0-BINSEARCH[56](1935){1},0-BINSEARCH[56](1935){4095},0-BINSEARCH[56](1935){1},0-BINSEARCH[56](1935){4095},0-BINSEARCH[56](1935){2048},0-BINSEARCH[56](1935){1792}
14136117,14133219,14133955,14137584,14132603,14134144,14137811,14137855,14134448,14146390,14142291,14142940,14138013,14146526,14146932,14146863,14147103,14137374,14142240,14145634,14143316,14134934,14147954
14136122,14133242,14133960,14137589,14132608,14134167,14137829,14137865,14134481,14146393,14142299,14142971,14138018,14146546,14146937,14146873,14147103,14137377,14142253,14145636,14143367,14134939,14147957
14136127,14133257,14133960,14137594,14132621,14134198,14137865,14137880,14134489,14146398,14142301,14142976,14138031,14146546,14146968,14146891,14147106,14137392,14142255,14145657,14143403,14134954,14147980
14136132,14133270,14133960,14137599,14132639,14134272,14137885,14137880,14134499,14146416,14142309,14142986,14138046,14146587,14146991,14146909,14147175,14137428,14142263,14145667,14143413,14134977,14148005
14136145,14133275,14133965,14137640,14132649,14134297,14137893,14137916,14134504,14146439,14142332,14142994,14138108,14146597,14146996,14146927,14147185,14137433,14142263,14145677,14143423,14134995,14148023
14136145,14133275,14133970,14137645,14132695,14134300,14137901,14137929,14134507,14146444,14142332,14142994,14138156,14146610,14147016,14146950,14147198,14137443,14142263,14145680,14143423,14134995,14148023
14136150,14133283,14133970,14137653,14132703,14134318,14137934,14137931,14134512,14146454,14142340,14143007,14138164,14146615,14147039,14146950,14147208,14137446,14142278,14145685,14143436,14135046,14148023
14136153,14133285,14133983,14137653,14132708,14134364,14137962,14137947,14134522,14146457,14142342,14143027,14138164,14146618,14147042,14146960,14147213,14137451,14142294,14145690,14143446,14135051,14148026
14136168,14133288,14134001,14137686,14132741,14134379,14137967,14137949,14134604,14146457,14142355,14143027,14138177,14146628,14147052,14146983,14147218,14137479,14142299,14145690,14143459,14135064,14148026
14136168,14133293,14134014,14137691,14132754,14134405,14137985,14137952,14134637,14146459,14142363,14143045,14138184,14146633,14147088,14146988,14147221,14137479,14142301,14145690,14143482,14135077,14148044
14136173,14133293,14134019,14137709,14132759,14134420,14138000,14137957,14134650,14146464,14142373,14143055,14138202,14146651,14147093,14146991,14147264,14137484,14142314,14145690,14143487,14135087,14148059
14136173,14133316,14134021,14137709,14132782,14134461,14138036,14137962,14134668,14146482,14142401,14143055,14138202,14146651,14147093,14147011,14147264,14137497,14142327,14145695,14143492,14135102,14148064
14136173,14133316,14134021,14137727,14132792,14134507,14138036,14137985,14134668,14146495,14142406,14143058,14138228,14146669,14147093,14147042,14147264,14137517,14142327,14145700,14143518,14135115,14148105
14136191,14133316,14134057,14137740,14132851,14134535,14138041,14137985,14134709,14146495,14142442,14143073,14138238,14146694,14147103,14147047,14147267,14137525,14142337,14145708,14143518,14135120,14148151
14136196,14133339,14134062,14137745,14132856,14134553,14138049,14137993,14134719,14146500,14142442,14143104,14138238,14146702,14147103,14147052,14147282,14137525,14142342,14145713,14143523,14135123,14148197
14136214,14133367,14134065,14137796,14132866,14134576,14138049,14137995,14134732,14146510,14142442,14143114,14138243,14146712,14147108,14147060,14147287,14137535,14142355,14145713,14143533,14135125,14148210
14136232,14133375,14134085,14137816,14132869,14134576,14138072,14138008,14134747,14146513,14142442,14143114,14138243,14146730,14147121,14147093,14147290,14137571,14142355,14145723,14143569,14135161,14148220
14136232,14133413,14134108,14137819,14132874,14134586,14138087,14138008,14134793,14146526,14142442,14143137,14138248,14146738,14147134,14147106,14147300,14137594,14142406,14145731,14143587,14135169,14148220
14136260,14133423,14134113,14137824,14132879,14134589,14138118,14138023,14134829,14146541,14142465,14143137,14138248,14146786,14147134,14147111,14147338,14137599,14142409,14145731,14143597,14135179,14148289
14136265,14133431,14134116,14137834,14132892,14134594,14138131,14138036,14134862,14146546,14142465,14143147,14138251,14146794,14147144,14147121,14147351,14137604,14142429,14145741,14143615,14135202,14148330
14136265,14133446,14134131,14137834,14132902,14134599,14138136,14138072,14134872,14146577,14142488,14143152,14138284,14146840,14147152,14147149,14147359,14137609,14142439,14145754,14143620,14135207,14148330
14136273,14133449,14134144,14137847,14132902,14134599,14138141,14138105,14134885,14146597,14142503,14143168,14138284,14146840,14147154,14147162,14147369,14137617,14142442,14145754,14143630,14135235,14148335
14136288,14133459,14134159,14137852,14132907,14134650,14138174,14138123,14134890,14146600,14142506,14143170,14138284,14146845,14147195,14147162,14147374,14137622,14142460,14145769,14143658,14135235,14148335
14136296,14133462,14134190,14137870,14132907,14134658,14138197,14138151,14134903,14146615,14142506,14143183,14138289,14146850,14147203,14147175,14147374,14137632,14142470,14145805,14143684,14135248,14148348
14136298,14133462,14134218,14137875,14132912,14134678,14138220,14138151,14134903,14146623,14142506,14143196,14138317,14146876,14147208,14147198,14147384,14137635,14142483,14145810,14143689,14135289,14148358
14136301,14133528,14134223,14137875,14132925,14134681,14138228,14138164,14134918,14146633,14142516,14143198,14138320,14146886,14147223,14147221,14147392,14137635,14142544,14145810,14143720,14135304,14148368
14136311,14133528,14134231,14137883,14132925,14134752,14138228,14138169,14134926,14146633,14142516,14143214,14138325,14146904,14147236,14147221,14147433,14137640,14142567,14145846,14143740,14135322,14148391
14136316,14133559,14134236,14137893,14132930,14134770,14138238,14138210,14134977,14146641,14142516,14143219,14138330,14146922,14147241,14147241,14147451,14137663,14142572,14145846,14143745,14135330,14148404
