0-BINSEARCH[56](2042){1},0-BINSEARCH[56](2042){4095},0-BINSEARCH[56](2042){2048},0-BINSEARCH[56](2042){1792},0-BINSEARCH[56](2042){1920},0-BINSEARCH[56](2042){1},0-BINSEARCH[56](2042){4095},0-BINSEARCH[56](2042){2048},0-BINSEARCH[56](2042){1792},0-BINSEARCH[56](2042){1920},0-BINSEARCH[56](2042){1856},0-BINSEARCH[56](2042){1888},0-BINSEARCH[56](2042){1904},0-BINSEARCH[56](2042){1896},0-BINSEARCH[56](2042){1892},0-BINSEARCH[56](2042){1892},0-BINSEARCH[56](2042){1894},0-BINSEARCH[56](2042){1894},0-BINSEARCH[56](2042){1895},0-BINSEARCH[56](2042){1895},0-BINSEARCH[56](2042){1894}
14158685,14155608,14156554,14159559,14159536,14160377,14155644,14148767,14159978,14150921,14160773,14161501,14150594,14151417,14157911,14160883,14157650,14160267,14153377,14151527,14149899
14158690,14155613,14156556,14159574,14159549,14160387,14155664,14148772,14159978,14150929,14160796,14161509,14150612,14151427,14157926,14160888,14157650,14160272,14153382,14151542,14149899
14158695,14155621,14156564,14159590,14159559,14160387,14155672,14148772,14159978,14150947,14160801,14161514,14150625,14151435,14157926,14160888,14157655,14160300,14153387,14151545,14149917
14158698,14155626,14156582,14159595,14159577,14160392,14155672,14148790,14159983,14150957,14160801,14161537,14150635,14151445,14157931,14160893,14157668,14160300,14153390,14151568,14149922
14158726,14155649,14156582,14159600,14159582,14160400,14155687,14148818,14159996,14150957,14160819,14161537,14150640,14151458,14157931,14160921,14157714,14160303,14153395,14151573,14149935
14158736,14155672,14156592,14159623,14159610,14160415,14155690,14148897,14160014,14150972,14160829,14161542,14150658,14151463,14157936,14160934,14157719,14160305,14153400,14151578,14149945
14158744,14155685,14156600,14159651,14159628,14160420,14155695,14148918,14160019,14150972,14160865,14161588,14150663,14151509,14157959,14160939,14157727,14160308,14153428,14151596,14149950
14158777,14155685,14156610,14159669,14159641,14160423,14155708,14148941,14160024,14150988,14160875,14161629,14150668,14151532,14157967,14160944,14157737,14160308,14153433,14151616,14149968
14158787,14155690,14156630,14159669,14159669,14160456,14155718,14148979,14160032,14150998,14160893,14161639,14150673,14151555,14157972,14160947,14157737,14160346,14153446,14151619,14149973
14158813,14155690,14156656,14159674,14159669,14160474,14155718,14149002,14160042,14150998,14160916,14161652,14150691,14151555,14157982,14160957,14157737,14160346,14153449,14151624,14149978
14158818,14155695,14156671,14159679,14159674,14160479,14155718,14149015,14160047,14151003,14160939,14161652,14150699,14151560,14158000,14160967,14157742,14160364,14153451,14151637,14149981
14158818,14155708,14156684,14159679,14159679,14160479,14155718,14149035,14160055,14151031,14160944,14161657,14150722,14151568,14158008,14160990,14157752,14160392,14153474,14151647,14149991
14158838,14155718,14156689,14159692,14159692,14160487,14155769,14149040,14160065,14151031,14160947,14161670,14150727,14151596,14158013,14160993,14157760,14160410,14153492,14151647,14149991
14158846,14155733,14156745,14159692,14159720,14160492,14155777,14149056,14160065,14151039,14160957,14161670,14150732,14151596,14158018,14161008,14157765,14160415,14153497,14151647,14150029
14158856,14155736,14156753,14159692,14159738,14160494,14155782,14149058,14160078,14151044,14160957,14161683,14150735,14151601,14158046,14161013,14157765,14160420,14153497,14151652,14150032
14158859,14155741,14156758,14159707,14159743,14160497,14155787,14149112,14160078,14151062,14160975,14161721,14150740,14151606,14158049,14161023,14157770,14160433,14153500,14151652,14150050
14158869,14155749,14156804,14159712,14159756,14160502,14155787,14149150,14160080,14151095,14161008,14161726,14150740,14151634,14158064,14161026,14157806,14160446,14153510,14151670,14150073
14158877,14155756,14156807,14159720,14159779,14160512,14155800,14149163,14160083,14151095,14161031,14161744,14150750,14151647,14158069,14161036,14157816,14160456,14153518,14151675,14150091
14158879,14155759,14156822,14159725,14159789,14160520,14155805,14149163,14160103,14151100,14161049,14161749,14150768,14151665,14158082,14161041,14157834,14160461,14153533,14151683,14150093
14158892,14155759,14156822,14159756,14159812,14160535,14155810,14149168,14160106,14151103,14161049,14161754,14150773,14151675,14158087,14161054,14157834,14160469,14153551,14151726,14150106
